time_key,hour_of_day,time_bucket,is_daytime,hour_label
0,0,Night,0,12:00 AM
1,0,Night,0,12:01 AM
2,0,Night,0,12:02 AM
3,0,Night,0,12:03 AM
4,0,Night,0,12:04 AM
5,0,Night,0,12:05 AM
6,0,Night,0,12:06 AM
7,0,Night,0,12:07 AM
8,0,Night,0,12:08 AM
9,0,Night,0,12:09 AM
10,0,Night,0,12:10 AM
11,0,Night,0,12:11 AM
12,0,Night,0,12:12 AM
13,0,Night,0,12:13 AM
14,0,Night,0,12:14 AM
15,0,Night,0,12:15 AM
16,0,Night,0,12:16 AM
17,0,Night,0,12:17 AM
18,0,Night,0,12:18 AM
19,0,Night,0,12:19 AM
20,0,Night,0,12:20 AM
21,0,Night,0,12:21 AM
22,0,Night,0,12:22 AM
23,0,Night,0,12:23 AM
24,0,Night,0,12:24 AM
25,0,Night,0,12:25 AM
26,0,Night,0,12:26 AM
27,0,Night,0,12:27 AM
28,0,Night,0,12:28 AM
29,0,Night,0,12:29 AM
30,0,Night,0,12:30 AM
31,0,Night,0,12:31 AM
32,0,Night,0,12:32 AM
33,0,Night,0,12:33 AM
34,0,Night,0,12:34 AM
35,0,Night,0,12:35 AM
36,0,Night,0,12:36 AM
37,0,Night,0,12:37 AM
38,0,Night,0,12:38 AM
39,0,Night,0,12:39 AM
40,0,Night,0,12:40 AM
41,0,Night,0,12:41 AM
42,0,Night,0,12:42 AM
43,0,Night,0,12:43 AM
44,0,Night,0,12:44 AM
45,0,Night,0,12:45 AM
46,0,Night,0,12:46 AM
47,0,Night,0,12:47 AM
48,0,Night,0,12:48 AM
49,0,Night,0,12:49 AM
50,0,Night,0,12:50 AM
51,0,Night,0,12:51 AM
52,0,Night,0,12:52 AM
53,0,Night,0,12:53 AM
54,0,Night,0,12:54 AM
55,0,Night,0,12:55 AM
56,0,Night,0,12:56 AM
57,0,Night,0,12:57 AM
58,0,Night,0,12:58 AM
59,0,Night,0,12:59 AM
100,1,Night,0,01:00 AM
101,1,Night,0,01:01 AM
102,1,Night,0,01:02 AM
103,1,Night,0,01:03 AM
104,1,Night,0,01:04 AM
105,1,Night,0,01:05 AM
106,1,Night,0,01:06 AM
107,1,Night,0,01:07 AM
108,1,Night,0,01:08 AM
109,1,Night,0,01:09 AM
110,1,Night,0,01:10 AM
111,1,Night,0,01:11 AM
112,1,Night,0,01:12 AM
113,1,Night,0,01:13 AM
114,1,Night,0,01:14 AM
115,1,Night,0,01:15 AM
116,1,Night,0,01:16 AM
117,1,Night,0,01:17 AM
118,1,Night,0,01:18 AM
119,1,Night,0,01:19 AM
120,1,Night,0,01:20 AM
121,1,Night,0,01:21 AM
122,1,Night,0,01:22 AM
123,1,Night,0,01:23 AM
124,1,Night,0,01:24 AM
125,1,Night,0,01:25 AM
126,1,Night,0,01:26 AM
127,1,Night,0,01:27 AM
128,1,Night,0,01:28 AM
129,1,Night,0,01:29 AM
130,1,Night,0,01:30 AM
131,1,Night,0,01:31 AM
132,1,Night,0,01:32 AM
133,1,Night,0,01:33 AM
134,1,Night,0,01:34 AM
135,1,Night,0,01:35 AM
136,1,Night,0,01:36 AM
137,1,Night,0,01:37 AM
138,1,Night,0,01:38 AM
139,1,Night,0,01:39 AM
140,1,Night,0,01:40 AM
141,1,Night,0,01:41 AM
142,1,Night,0,01:42 AM
143,1,Night,0,01:43 AM
144,1,Night,0,01:44 AM
145,1,Night,0,01:45 AM
146,1,Night,0,01:46 AM
147,1,Night,0,01:47 AM
148,1,Night,0,01:48 AM
149,1,Night,0,01:49 AM
150,1,Night,0,01:50 AM
151,1,Night,0,01:51 AM
152,1,Night,0,01:52 AM
153,1,Night,0,01:53 AM
154,1,Night,0,01:54 AM
155,1,Night,0,01:55 AM
156,1,Night,0,01:56 AM
157,1,Night,0,01:57 AM
158,1,Night,0,01:58 AM
159,1,Night,0,01:59 AM
200,2,Night,0,02:00 AM
201,2,Night,0,02:01 AM
202,2,Night,0,02:02 AM
203,2,Night,0,02:03 AM
204,2,Night,0,02:04 AM
205,2,Night,0,02:05 AM
206,2,Night,0,02:06 AM
207,2,Night,0,02:07 AM
208,2,Night,0,02:08 AM
209,2,Night,0,02:09 AM
210,2,Night,0,02:10 AM
211,2,Night,0,02:11 AM
212,2,Night,0,02:12 AM
213,2,Night,0,02:13 AM
214,2,Night,0,02:14 AM
215,2,Night,0,02:15 AM
216,2,Night,0,02:16 AM
217,2,Night,0,02:17 AM
218,2,Night,0,02:18 AM
219,2,Night,0,02:19 AM
220,2,Night,0,02:20 AM
221,2,Night,0,02:21 AM
222,2,Night,0,02:22 AM
223,2,Night,0,02:23 AM
224,2,Night,0,02:24 AM
225,2,Night,0,02:25 AM
226,2,Night,0,02:26 AM
227,2,Night,0,02:27 AM
228,2,Night,0,02:28 AM
229,2,Night,0,02:29 AM
230,2,Night,0,02:30 AM
231,2,Night,0,02:31 AM
232,2,Night,0,02:32 AM
233,2,Night,0,02:33 AM
234,2,Night,0,02:34 AM
235,2,Night,0,02:35 AM
236,2,Night,0,02:36 AM
237,2,Night,0,02:37 AM
238,2,Night,0,02:38 AM
239,2,Night,0,02:39 AM
240,2,Night,0,02:40 AM
241,2,Night,0,02:41 AM
242,2,Night,0,02:42 AM
243,2,Night,0,02:43 AM
244,2,Night,0,02:44 AM
245,2,Night,0,02:45 AM
246,2,Night,0,02:46 AM
247,2,Night,0,02:47 AM
248,2,Night,0,02:48 AM
249,2,Night,0,02:49 AM
250,2,Night,0,02:50 AM
251,2,Night,0,02:51 AM
252,2,Night,0,02:52 AM
253,2,Night,0,02:53 AM
254,2,Night,0,02:54 AM
255,2,Night,0,02:55 AM
256,2,Night,0,02:56 AM
257,2,Night,0,02:57 AM
258,2,Night,0,02:58 AM
259,2,Night,0,02:59 AM
300,3,Night,0,03:00 AM
301,3,Night,0,03:01 AM
302,3,Night,0,03:02 AM
303,3,Night,0,03:03 AM
304,3,Night,0,03:04 AM
305,3,Night,0,03:05 AM
306,3,Night,0,03:06 AM
307,3,Night,0,03:07 AM
308,3,Night,0,03:08 AM
309,3,Night,0,03:09 AM
310,3,Night,0,03:10 AM
311,3,Night,0,03:11 AM
312,3,Night,0,03:12 AM
313,3,Night,0,03:13 AM
314,3,Night,0,03:14 AM
315,3,Night,0,03:15 AM
316,3,Night,0,03:16 AM
317,3,Night,0,03:17 AM
318,3,Night,0,03:18 AM
319,3,Night,0,03:19 AM
320,3,Night,0,03:20 AM
321,3,Night,0,03:21 AM
322,3,Night,0,03:22 AM
323,3,Night,0,03:23 AM
324,3,Night,0,03:24 AM
325,3,Night,0,03:25 AM
326,3,Night,0,03:26 AM
327,3,Night,0,03:27 AM
328,3,Night,0,03:28 AM
329,3,Night,0,03:29 AM
330,3,Night,0,03:30 AM
